"","company","market","TSE_code","TSE_name","year","ETR","CETR","STR","HHI","STR_HHI","ROA","SIZE","LEV","INTANG","QUICK","EQINC","OUTINSTI","RELATIN","RELATOUT","FAM_Dum"
"3765","4733 上緯","TSE","M1721","化學工業",2015,0.205492436661797,0.136575173050542,16,0.0724235274509919,16,0.158297283767447,15.9803802030841,0.617635622839407,0.000787746230948741,149.02,0,33.6,0,0,1
"3766","4739 康普","OTC","M1721","化學工業",2015,0.184518879927025,0.159322639108935,13,0.0724235274509919,13,0.044264271286482,15.4170493543649,0.527908584744772,0.000259239697943419,82.32,0,43.55,0,17,1
"3767","4755 三福化","TSE","M1721","化學工業",2015,0.161541455819385,0.144158425523193,16,0.0724235274509919,16,0.0701198572285122,15.0703921377598,0.267903529172273,0,153.6,0.0063154629481531,52.6,0,0,0
"3768","4762 F-三汰","OTC","M1721","化學工業",2015,NA,NA,16,0.0724235274509919,16,0.156617599377472,13.1988335573471,0.119034340926566,0.00702196448257015,471.47,0,33.15,0,0,0
"3769","4763 F-材料","TSE","M1721","化學工業",2015,NA,NA,14,0.0724235274509919,14,0.162961117293903,14.4351209878078,0.256712395409761,0,256.52,0,87.89,0,22,1
"3770","6506 雙邦","OTC","M1721","化學工業",2015,0.19556477603528,0.184040508818583,17,0.0724235274509919,17,0.0700648112770813,14.4979344490155,0.468206894739289,0.00217671686205063,98.19,0,5.43,0,5,0
"3771","6509 聚和","OTC","M1721","化學工業",2015,0.40674573730607,0.233430893416752,20,0.0724235274509919,20,0.0452531029406412,15.4305433896073,0.471209233474667,0,92.27,0,17.01,0,0,1
"3772","1565 精華","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0759018893186552,13.1951676429589,0.224438411187147,0.00603243082415948,326.07,0,26.09,0,0,0
"3773","1701 中化","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.020300428289316,15.768160656729,0.528781288937569,0,61.56,-0.00250009258813859,12.87,6,8,1
"3774","1707 葡萄王","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.00468755798894816,14.7554221087509,0.447788948551717,0.0414188076593268,59.62,0,0.68,1,17,1
"3775","1720 生達","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0522836337753926,14.8396216176762,0.450242564602195,0.00339328288717415,268.22,0.000163756693465066,11.09,9,6,1
"3776","1729 必翔","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.314910249082408,14.7228763810603,0.175880735511164,0.0474697784757124,253.42,0.000458877215838165,30.4,2,0,1
"3777","1731 美吾華","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0250092508538738,14.6281486482664,0.52301133262876,0,78.65,0.00240610937925661,35.22,0,0,1
"3778","1733 五鼎","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.181879267913688,13.4791171182385,0.141516248519617,0.0419966906607759,429.66,0,0,0,0,0
"3779","1734 杏輝","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0504791395202354,14.0369422448744,0.485094505642451,0.00287371520248233,72.75,-0.0033873937983527,13.74,2,0,1
"3780","1736 喬山","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.148889491858747,14.7660844486928,0.602975269732382,0.0284315749031576,63.9,-0.00107800188157517,0,15,54,1
"3781","1752 南光","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.00358568123043419,13.7303610829226,0.499608547706547,0.00102028038655233,60.94,0,0,8,21,1
"3782","1762 中化生","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.0349392370443316,14.4362719748255,0.781616733249335,0,17.55,-0.00206198423517371,66.42,1,48,1
"3783","1777 生泰","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0981111399691891,12.5463554697744,0.2428620730141,0.0439714091557589,192.95,-0.00150496853085897,0,0,0,NA
"3784","1781 合世","OTC","M1722","生技醫療",2001,NA,NA,5,NA,NA,0.0209002686550798,11.7023928064201,0.658665497011898,0.00263172323044027,112.37,0,0,0,0,NA
"3785","1783 和康生","TSE","M1722","生技醫療",2001,NA,NA,5,NA,NA,-0.374101909536932,11.7023928064201,0.0850569333957261,0,256.71,-0.0302582359447243,0,0,0,0
