old,new,type
營業收入毛額_2004,GrossSales_2004,numeric
營業收入毛額_2003,GrossSales_2003,numeric
營業收入毛額_2002,GrossSales_2002,numeric
營業收入毛額_2001,GrossSales_2001,numeric
資產總額_2015,TA_2015,numeric
資產總額_2014,TA_2014,numeric
資產總額_2013,TA_2013,numeric
資產總額_2012,TA_2012,numeric
資產總額_2011,TA_2011,numeric
資產總額_2010,TA_2010,numeric
資產總額_2009,TA_2009,numeric
資產總額_2008,TA_2008,numeric
資產總額_2007,TA_2007,numeric
資產總額_2006,TA_2006,numeric
資產總額_2005,TA_2005,numeric
資產總額_2004,TA_2004,numeric
資產總額_2003,TA_2003,numeric
資產總額_2002,TA_2002,numeric
資產總額_2001,TA_2001,numeric
負債總額_2015,TL_2015,numeric
負債總額_2014,TL_2014,numeric
負債總額_2013,TL_2013,numeric
負債總額_2012,TL_2012,numeric
負債總額_2011,TL_2011,numeric
負債總額_2010,TL_2010,numeric
負債總額_2009,TL_2009,numeric
負債總額_2008,TL_2008,numeric
負債總額_2007,TL_2007,numeric
負債總額_2006,TL_2006,numeric
負債總額_2005,TL_2005,numeric
負債總額_2004,TL_2004,numeric
負債總額_2003,TL_2003,numeric
負債總額_2002,TL_2002,numeric
負債總額_2001,TL_2001,numeric
無形資產_2015,INTANG_2015,numeric
無形資產_2014,INTANG_2014,numeric
無形資產_2013,INTANG_2013,numeric
無形資產_2012,INTANG_2012,numeric
無形資產_2011,INTANG_2011,numeric
無形資產_2010,INTANG_2010,numeric
無形資產_2009,INTANG_2009,numeric
無形資產_2008,INTANG_2008,numeric
無形資產_2007,INTANG_2007,numeric
無形資產_2006,INTANG_2006,numeric
無形資產_2005,INTANG_2005,numeric
無形資產_2004,INTANG_2004,numeric
無形資產_2003,INTANG_2003,numeric
無形資產_2002,INTANG_2002,numeric
無形資產_2001,INTANG_2001,numeric
速動比率_2015,QUICK_2015,numeric
速動比率_2014,QUICK_2014,numeric
速動比率_2013,QUICK_2013,numeric
速動比率_2012,QUICK_2012,numeric
速動比率_2011,QUICK_2011,numeric
速動比率_2010,QUICK_2010,numeric
速動比率_2009,QUICK_2009,numeric
速動比率_2008,QUICK_2008,numeric
速動比率_2007,QUICK_2007,numeric
速動比率_2006,QUICK_2006,numeric
速動比率_2005,QUICK_2005,numeric
速動比率_2004,QUICK_2004,numeric
速動比率_2003,QUICK_2003,numeric
速動比率_2002,QUICK_2002,numeric
速動比率_2001,QUICK_2001,numeric
投資收益─權益法_2015,InvIn_2015,numeric
投資收益─權益法_2014,InvIn_2014,numeric
投資收益─權益法_2013,InvIn_2013,numeric
投資收益─權益法_2012,InvIn_2012,numeric
投資收益─權益法_2011,InvIn_2011,numeric
投資收益─權益法_2010,InvIn_2010,numeric
投資收益─權益法_2009,InvIn_2009,numeric
投資收益─權益法_2008,InvIn_2008,numeric
投資收益─權益法_2007,InvIn_2007,numeric
投資收益─權益法_2006,InvIn_2006,numeric
投資收益─權益法_2005,InvIn_2005,numeric
投資收益─權益法_2004,InvIn_2004,numeric
投資收益─權益法_2003,InvIn_2003,numeric
投資收益─權益法_2002,InvIn_2002,numeric
投資收益─權益法_2001,InvIn_2001,numeric
投資損失─權益法_2015,InvLos_2015,numeric
投資損失─權益法_2014,InvLos_2014,numeric
投資損失─權益法_2013,InvLos_2013,numeric
投資損失─權益法_2012,InvLos_2012,numeric
投資損失─權益法_2011,InvLos_2011,numeric
投資損失─權益法_2010,InvLos_2010,numeric
投資損失─權益法_2009,InvLos_2009,numeric
投資損失─權益法_2008,InvLos_2008,numeric
投資損失─權益法_2007,InvLos_2007,numeric
投資損失─權益法_2006,InvLos_2006,numeric
投資損失─權益法_2005,InvLos_2005,numeric
投資損失─權益法_2004,InvLos_2004,numeric
投資損失─權益法_2003,InvLos_2003,numeric
投資損失─權益法_2002,InvLos_2002,numeric
投資損失─權益法_2001,InvLos_2001,numeric
法人持股%_2015,OUTINSTI_2015,numeric
法人持股%_2014,OUTINSTI_2014,numeric
法人持股%_2013,OUTINSTI_2013,numeric
法人持股%_2012,OUTINSTI_2012,numeric
法人持股%_2011,OUTINSTI_2011,numeric
法人持股%_2010,OUTINSTI_2010,numeric
法人持股%_2009,OUTINSTI_2009,numeric
法人持股%_2008,OUTINSTI_2008,numeric
法人持股%_2007,OUTINSTI_2007,numeric
法人持股%_2006,OUTINSTI_2006,numeric
法人持股%_2005,OUTINSTI_2005,numeric
法人持股%_2004,OUTINSTI_2004,numeric
法人持股%_2003,OUTINSTI_2003,numeric
法人持股%_2002,OUTINSTI_2002,numeric
法人持股%_2001,OUTINSTI_2001,numeric
關係人進貨%_2015,RELATIN_2015,numeric
關係人進貨%_2014,RELATIN_2014,numeric
關係人進貨%_2013,RELATIN_2013,numeric
關係人進貨%_2012,RELATIN_2012,numeric
關係人進貨%_2011,RELATIN_2011,numeric
關係人進貨%_2010,RELATIN_2010,numeric
關係人進貨%_2009,RELATIN_2009,numeric
關係人進貨%_2008,RELATIN_2008,numeric
關係人進貨%_2007,RELATIN_2007,numeric
關係人進貨%_2006,RELATIN_2006,numeric
關係人進貨%_2005,RELATIN_2005,numeric
關係人進貨%_2004,RELATIN_2004,numeric
關係人進貨%_2003,RELATIN_2003,numeric
關係人進貨%_2002,RELATIN_2002,numeric
關係人進貨%_2001,RELATIN_2001,numeric
關係人銷貨%_2015,RELATOUT_2015,numeric
關係人銷貨%_2014,RELATOUT_2014,numeric
關係人銷貨%_2013,RELATOUT_2013,numeric
關係人銷貨%_2012,RELATOUT_2012,numeric
關係人銷貨%_2011,RELATOUT_2011,numeric
關係人銷貨%_2010,RELATOUT_2010,numeric
關係人銷貨%_2009,RELATOUT_2009,numeric
關係人銷貨%_2008,RELATOUT_2008,numeric
關係人銷貨%_2007,RELATOUT_2007,numeric
關係人銷貨%_2006,RELATOUT_2006,numeric
關係人銷貨%_2005,RELATOUT_2005,numeric
關係人銷貨%_2004,RELATOUT_2004,numeric
關係人銷貨%_2003,RELATOUT_2003,numeric
關係人銷貨%_2002,RELATOUT_2002,numeric
關係人銷貨%_2001,RELATOUT_2001,numeric
集團控制型態_2015,FAMILY_2015,text
集團控制型態_2014,FAMILY_2014,text
集團控制型態_2013,FAMILY_2013,text
集團控制型態_2012,FAMILY_2012,text
集團控制型態_2011,FAMILY_2011,text
集團控制型態_2010,FAMILY_2010,text
集團控制型態_2009,FAMILY_2009,text
集團控制型態_2008,FAMILY_2008,text
集團控制型態_2007,FAMILY_2007,text
集團控制型態_2006,FAMILY_2006,text
集團控制型態_2005,FAMILY_2005,text
集團控制型態_2004,FAMILY_2004,text
集團控制型態_2003,FAMILY_2003,text
集團控制型態_2002,FAMILY_2002,text
集團控制型態_2001,FAMILY_2001,text
集團控制型態說明_2015,FAMILYNOTE_2015,text
集團控制型態說明_2014,FAMILYNOTE_2014,text
